IP,id,id2,counter,core_temp,ADC1,ADC2,ADC3,battery
fd00::212:4b00:615:aa72,171,0,137,25952,2280,0,1452,3270
fd00::212:4b00:616:f3d,171,0,90,32380,2324,0,1496,3262
fd00::212:4b00:616:ff3,171,0,86,35000,2276,0,1456,3171
fd00::212:4b00:615:aaee,171,0,118,22620,2312,0,1488,3273
fd00::212:4b00:615:ab05,171,0,98,32619,2288,0,1460,3249
fd00::212:4b00:615:aa72,171,0,138,25952,2280,0,1456,3269
fd00::212:4b00:616:f3d,171,0,91,32619,2324,0,1496,3262
fd00::212:4b00:616:ff3,171,0,87,35000,2280,0,1456,3170
fd00::212:4b00:615:aaee,171,0,119,22620,2312,0,1488,3273
fd00::212:4b00:615:ab05,171,0,99,32619,2284,0,1460,3250
fd00::212:4b00:615:aa72,171,0,139,25952,2280,0,1452,3269
fd00::212:4b00:616:f3d,171,0,92,32619,2320,0,1492,3262
fd00::212:4b00:616:ff3,171,0,88,35000,2280,0,1456,3169
fd00::212:4b00:615:aaee,171,0,120,22620,2312,0,1492,3274
fd00::212:4b00:615:ab05,171,0,100,32380,2288,0,1460,3249
fd00::212:4b00:615:aa72,171,0,140,25952,2284,0,1452,3270
fd00::212:4b00:616:f3d,171,0,93,32380,2328,0,1492,3260
fd00::212:4b00:616:ff3,171,0,89,35000,2280,0,1460,3169
fd00::212:4b00:615:aaee,171,0,121,22858,2312,0,1488,3275
fd00::212:4b00:615:aa72,171,0,141,26666,2284,0,1452,3272
fd00::212:4b00:615:ab05,171,0,101,32619,2284,0,1460,3251
fd00::212:4b00:616:f3d,171,0,94,32857,2324,0,1492,3262
fd00::212:4b00:616:ff3,171,0,90,35000,2276,0,1460,3169
fd00::212:4b00:615:aa72,171,0,142,25952,2276,0,1452,3269
fd00::212:4b00:615:aaee,171,0,122,22858,2312,0,1488,3276
fd00::212:4b00:615:ab05,171,0,102,32380,2284,0,1460,3249
fd00::212:4b00:616:f3d,171,0,95,32857,2324,0,1496,3260
fd00::212:4b00:616:ff3,171,0,91,35000,2276,0,1460,3170
fd00::212:4b00:615:aa72,171,0,143,26428,2284,0,1456,3270
fd00::212:4b00:615:ab05,171,0,103,32380,2288,0,1460,3249
fd00::212:4b00:615:aaee,171,0,123,23096,2312,0,1488,3276
fd00::212:4b00:616:f3d,171,0,96,32857,2328,0,1496,3260
fd00::212:4b00:616:ff3,171,0,92,35000,2280,0,1456,3171
fd00::212:4b00:615:aa72,171,0,144,26666,2284,0,1452,3269
fd00::212:4b00:615:ab05,171,0,104,32380,2284,0,1464,3250
fd00::212:4b00:615:aaee,171,0,124,22620,2316,0,1488,3273
fd00::212:4b00:616:f3d,171,0,97,32857,2324,0,1496,3259
fd00::212:4b00:616:ff3,171,0,93,35000,2280,0,1456,3169
fd00::212:4b00:615:aa72,171,0,145,26190,2280,0,1456,3268
fd00::212:4b00:615:ab05,171,0,105,32380,2288,0,1460,3250
fd00::212:4b00:615:aaee,171,0,125,23096,2316,0,1488,3276
fd00::212:4b00:616:f3d,171,0,98,32857,2320,0,1492,3260
fd00::212:4b00:616:ff3,171,0,94,35000,2276,0,1460,3170
fd00::212:4b00:615:aa72,171,0,146,26666,2276,0,1456,3270
fd00::212:4b00:615:ab05,171,0,106,32380,2284,0,1460,3249
fd00::212:4b00:615:aaee,171,0,126,22858,2312,0,1488,3275
fd00::212:4b00:616:f3d,171,0,99,32857,2320,0,1496,3260
fd00::212:4b00:616:ff3,171,0,95,35000,2280,0,1460,3169
fd00::212:4b00:615:aa72,171,0,147,26190,2280,0,1456,3270
fd00::212:4b00:615:ab05,171,0,107,32142,2288,0,1460,3249
fd00::212:4b00:615:aaee,171,0,127,23334,2316,0,1492,3274
fd00::212:4b00:616:f3d,171,0,100,32619,2324,0,1496,3259
fd00::212:4b00:616:ff3,171,0,96,35238,2276,0,1460,3168
fd00::212:4b00:615:aa72,171,0,148,26428,2280,0,1452,3272
fd00::212:4b00:615:ab05,171,0,108,32380,2284,0,1456,3249
fd00::212:4b00:615:aaee,171,0,128,22858,2312,0,1492,3275
fd00::212:4b00:616:f3d,171,0,101,32857,2324,0,1492,3262
fd00::212:4b00:616:ff3,171,0,97,35000,2276,0,1456,3168
fd00::212:4b00:615:aa72,171,0,149,26190,2280,0,1456,3270
fd00::212:4b00:615:ab05,171,0,109,32380,2292,0,1460,3249
fd00::212:4b00:615:aaee,171,0,129,23096,2312,0,1492,3273
fd00::212:4b00:616:f3d,171,0,102,32380,2324,0,1492,3260
fd00::212:4b00:616:ff3,171,0,98,35000,2272,0,1456,3167
fd00::212:4b00:615:aa72,171,0,150,26190,2284,0,1452,3270
fd00::212:4b00:615:ab05,171,0,110,32857,2288,0,1460,3251
fd00::212:4b00:615:aaee,171,0,130,22620,2308,0,1492,3273
fd00::212:4b00:616:f3d,171,0,103,32380,2324,0,1496,3260
fd00::212:4b00:616:ff3,171,0,99,35000,2280,0,1460,3167
