IP,id,id2,counter,core_temp,ADC1,ADC2,ADC3,battery
fd00::212:4b00:615:aaee,171,0,578,20715,17828,0,1488,2757
fd00::212:4b00:615:aaee,171,0,579,20239,17840,0,1488,2752
fd00::212:4b00:615:aaee,171,0,580,20477,17844,0,1488,2749
fd00::212:4b00:615:aaee,171,0,581,20239,17856,0,1488,2744
fd00::212:4b00:615:aaee,171,0,582,20477,17864,0,1484,2740
fd00::212:4b00:615:aaee,171,0,583,20239,17872,0,1484,2734
fd00::212:4b00:615:aaee,171,0,584,20239,17880,0,1488,2729
fd00::212:4b00:615:aaee,171,0,585,20239,17892,0,1488,2724
fd00::212:4b00:615:aaee,171,0,586,20239,17904,0,1484,2720
fd00::212:4b00:615:aaee,171,0,587,20239,17912,0,1488,2714
fd00::212:4b00:615:aaee,171,0,588,20239,17920,0,1484,2709
fd00::212:4b00:615:aaee,171,0,589,20000,17932,0,1488,2702
fd00::212:4b00:615:aaee,171,0,590,20239,17944,0,1488,2697
fd00::212:4b00:615:aaee,171,0,591,20239,17956,0,1488,2691
fd00::212:4b00:615:aaee,171,0,592,20239,17972,0,1492,2685
fd00::212:4b00:615:aaee,171,0,593,20239,17980,0,1492,2678
fd00::212:4b00:615:aaee,171,0,594,20239,17996,0,1488,2670
fd00::212:4b00:615:aaee,171,0,595,20239,18012,0,1488,2664
fd00::212:4b00:615:aaee,171,0,596,20000,18032,0,1488,2657
fd00::212:4b00:615:aaee,171,0,597,20239,18056,0,1488,2650
fd00::212:4b00:615:aaee,171,0,598,20000,18076,0,1488,2642
fd00::212:4b00:615:aaee,171,0,599,20000,18096,0,1492,2633
fd00::212:4b00:615:aaee,171,0,600,20000,18124,0,1492,2623
fd00::212:4b00:615:aaee,171,0,601,20000,18152,0,1492,2615
fd00::212:4b00:615:aaee,171,0,602,19762,18184,0,1492,2604
fd00::212:4b00:615:aaee,171,0,603,19762,18224,0,1492,2593
fd00::212:4b00:615:aaee,171,0,604,19762,18268,0,1492,2582
fd00::212:4b00:615:aaee,171,0,605,19762,18320,0,1492,2568
fd00::212:4b00:615:aaee,171,0,606,19762,18384,0,1496,2554
fd00::212:4b00:615:aaee,171,0,607,19524,18460,0,1496,2537
fd00::212:4b00:615:aaee,171,0,608,19524,18548,0,1500,2517
fd00::212:4b00:615:aaee,171,0,609,19524,18660,0,1500,2493
fd00::212:4b00:615:aaee,171,0,610,19286,18832,0,1500,2459
fd00::212:4b00:615:aaee,171,0,611,19286,19072,0,1504,2415
